,Glyph,Keep,English+,English Tailored
904,🥈,FALSE,,
905,🥉,FALSE,,
906,🏅,FALSE,,
907,🎖️,FALSE,,
908,🏵️,FALSE,,
909,🎗️,FALSE,,
910,🎫,FALSE,,
911,🎟️,FALSE,,
912,🎪,TRUE,"Circus, Ringmaster, Trapeze, Tightrope","Dumbo's House, Clownin Around, Not My Monkeys"
913,🤹‍♀️,TRUE,"Juggle, Multitask",
914,🤹,TRUE,"Juggler, Clubs, Knives, Torches, Chainsaws, Axes","Project Manager, Balls In The Air, Keepin My Hands Full"
915,🤹‍♂️,TRUE,"Copperfield, Houdini, Penn , Teller, Blaine",He's A Tosser
916,🎭,TRUE,"Drama, Manipulation, Betrayal, Sabotage, Subterfuge, Extortion, Gemini","Dramatic Irony, The Plot Thickens"
917,🩰,TRUE,"Ballet, Pirouette, Ballerina, Tutu, Leotard, Balanchine, Vaganova, Cecchetti, Bournonville, Glissade, Gisele, Coppelia, Clara","En Pointe, Grand Jeté, Pas de Chat, Pas de Valse, Rond de Jambe, First Position, Satin Slippers, Set The Barre, Get To The Pointe, Ballerina Cappuccina "
918,🎨,TRUE,"Frida, Picasso, Monet, Rembrandt, Van Gogh, Da Vinci, Michelangelo, Warhol, Pollock, Dali, Klimt, Rothko, O'Keeffe, Goya, Manet, Basquiat, Kandinsky, Easel, Varnish, Gesso, Palette, Louvre, Fauvist, Rococo, Baroque, Cubist, Dada, Raphael","Watchin Paint Dry, Shrimp Tempera, Spin The Color Wheel"
919,🎬,TRUE,"Showbiz, Marilyn, Bogart, Audrey, Brando, Garland, Newman, Hepburn, Garbo, Chaplin","That's Showbiz Baby!, And Scene!, Lights Camera Action, Quiet on Set, Laugh Track"
920,🎤,TRUE,"Karaoke, PA, Interview, Speech, MC","Mic Drop, Is This Thing On, Stand Up Guy"
921,🎧,TRUE,"Disco, Tinnitus, DJ, Producer, Selecta, Playlista, Groove, Jam, Vibe, Track ID","Four on the Floor, Dude Where's My USB, Pioneer Pioneer, Untz Untz, Decibel Destroyer, Flow State, Kaytranada Boiler Room 2011, Track ID Pls, Pass Me The Aux"
922,🎼,TRUE,"Sonata, Opus, Concerto, Etude, Minuet, Fugue, Aria, Intermezzo, Nocturne, Mazurka, Waltz","You're in Big Treble, Treblemaker"
923,🎹,TRUE,"Synth, Keys, Ivory, Keeb, Scale, Melody, Chord","Ticklin Ivories, Hittin The High Notes, Keyboard Warrior, Sus Chord, Makin My Way Downtown, Falling Piano"
924,🪇,TRUE,"Beatdrop, Shake, Rattle, Maracas, Cha-cha","Cha Cha Real Smooth, Boom Chicka Boom"
925,🥁,TRUE,"Buzzroll, Snare, Bang, Roll, Hi-Hat, Rimshot, Fill, Groove, Drum, Sheila E, Peart, Grohl","Air Drums, Tom Tom Club, Not Quite My Tempo, Pa Rum Pa Pum Pum, Lil Drummer Boi, Ba Dum Tss, Chicka Chicka Boom, Drum Roll Pls"
926,🪘,TRUE,"Tam-Tam, Djembe, Afrobeat, Soukous, Conga, Riddim",Tam-Tam Jammin
927,🎷,TRUE,"Sax, Sqwonk, Horn, Jazzman, Coltrane, Bebop, Riff, Sonny, Rollins","Giant Steps, Jam Sesh, In The Pocket, Sounds Reasonable, Reed All About It, Yakety Sax"
928,🎺,TRUE,"Horn, Bugle, Miles, Piston, Trumpet, Honk","Spit Valve, Busy Tootin, My Funny Valentine"
929,🪗,TRUE,"Squeezebox, Polka, Weird Al, Accordion","All Accordion To Plan, Accordion To Me, Squeeze The Day"
930,🎸,TRUE,"Distortion, Whammy, Humbucker, Jazzmaster, Wah-Wah, Hendrix, Santana","No Whammy, Bed Rock, Precious Metal"
931,🪕,TRUE,"Banjo, Fingerpicker, Capo, Bluegrass","Boogie Woogie, Hootin N Hollerin, Slim Pickins, Cuttin Rugs, Kitchen Party, Banjo Bop, Barn Burner"
932,🎻,TRUE,"Violin, Fiddle, Pegbox, Paganini, Strad","Second Fiddle, The Jig Is Up, Kitchen Party, See U At The Ceilidh"
933,🪈,TRUE,"Flautist, Flute, Pipe","Passin Wind, Exhaust Pipe, Pipe Dream, Flautin The Law, Toot Toot"
934,🎲,TRUE,"Dice, Yahtzee, Monopoly, Backgammon, Trouble","Dicey Situation, Die Hard"
935,♟️,TRUE,"Trap, Checkmate, Pawn, Stalemate, Zugzwang, Fork","Pawn Shop, Seeking Promotion, Pawn Sacrifice, En Passant, Pawn Tificator, Flying V, Poisoned Pawn, Wu-Tang Zugzwang"
936,🎯,TRUE,Bullseye,"Direct Hit, Aim High, Dart Vader"
937,🎳,TRUE,"Strike, Gutter, Alley","Right Up My Alley, Bowled Over, Roll Wit It, Changin Lanes, Spare No One, Outta Frame, Split Decision, Cursed Lane, Mr. Slippy Shoes"
938,🎮,TRUE,"Vidya, Atari, N64, Rumblepad, Joystick, D-Pad",LAN Party
939,🎰,TRUE,"Gamble, Fortune, Jackpot","Long Odds, Feelin Lucky?, Viva Las Vegas"
940,🧩,TRUE,Jigsaw,Piece De Resistance
941,🚗,TRUE,"Traffic, Jam, Clog, Exhaust",
942,🚕,TRUE,"Surcharge, Taxi, Cab, Hack",
943,🚙,TRUE,Jalopey,Papa Gridlock
944,🚌,TRUE,Bus,"Double Deckah, Getaway Bus, Stay Outta My Lane"
945,🚎,TRUE,Trolley,"Trolley Problems, Cursed Vengabus"
946,🏎️,TRUE,"Vroom, Whirr, Skrrrrt, Weee, Rrrnnnnn, McQueen, Zoom-Zoom, Villeneuve, Ricky Bobby, Talladega, Indy","Zoomin Along, Pit Stop, Burnin Rubbah, Speed Demon"
947,🚓,FALSE,Kickback,
948,🚑,FALSE,Paramedic,
949,🚒,FALSE,Firetruck,
950,🚐,TRUE,Matatu,"Dollar Van, Mystery Machine, Scooby Haus, Down By The River, Gas Money, Goin On Tour, Van Life, Load In, Load Out, The Roadies"
951,🛻,TRUE,"Sootmachine, Kei, Pickup, Truck",Truckin Along
952,🚚,TRUE,"Delivery, Lorry, Cargo, Flatbed",
953,🚛,TRUE,Cargo,Sixteen Wheelah
954,🚜,TRUE,Tractor,Oh Deere
955,🦯,FALSE,,
956,🦽,FALSE,,
957,🦼,FALSE,,
958,🩼,FALSE,,
959,🛴,TRUE,"Scoot, Jump, Skip, Bolt, Lime, Spin, Razor, Elijah","Ankle Menace, Scootin Along"
960,🚲,TRUE,"Fixie, Bixi, Wheelie, Lycra, Chainring, Chamois, Freewheel, Schwinn, Bianchi, Derailleur, Saddlesaurus, Peugeot, Fuji","Bike Messenger, Spoke Person"
961,🛵,TRUE,"Moped, Vespa",
962,🏍️,TRUE,"Kenevil, Chopper, Hog, Wheelie, Backflip, Harley, Sidecar, Motomami",Look Ma No Hands
963,🛺,TRUE,Tuk-Tuk,
964,🛞,TRUE,"Lugnut, Spoke, Axle, Vulcan, Rim, Hubcap, Wheel",Winter Tire
965,🚨,TRUE,Siren,Once Upon A Crime
966,🚔,FALSE,Ruffian,
967,🚍,TRUE,Deadhead,
968,🚘,TRUE,Honker,
969,🚖,TRUE,Taxi,
970,🚡,TRUE,"Gondola, Chairlift","Hang In There, Don't Look Down, Chairway To Heaven, Up Up Up We Go, Above Reproach"
971,🚠,TRUE,Cablecar,"Next Stop Roosevelt Island, Spidey Tram"
972,🚟,TRUE,Glider,
973,🚃,TRUE,"Railway, Train, Loco, Caboose, Boxcar, Wagon",
974,🚋,TRUE,Tram,
975,🚞,TRUE,Railcar,All Aboard
976,🚝,TRUE,"Monorail, SkyTrain",
977,🚄,TRUE,Departure,On The Fast Track
978,🚅,TRUE,Maglev,
979,🚈,TRUE,Arrival,
980,🚂,TRUE,Choo-Choo,"Choo Choo, Full Steam Ahead, Losing Steam"
981,🚆,TRUE,Train,
982,🚇,TRUE,Metro,Soul Train
983,🚊,TRUE,Subway,Iron Horse
984,🚉,TRUE,Station,
985,✈️,TRUE,Jet,Come From Away
986,🛫,TRUE,Takeoff,
987,🛬,TRUE,Landing,
988,🛩️,TRUE,Concorde,
989,💺,TRUE,Armrest,
990,🛰️,TRUE,Orbit,
991,🚀,TRUE,Rocket,"To The Moon, Mission Accomplished, Havin A Blast, To Infinity And Beyond, Hard Launch, Hi Houston It Me"
992,🛸,TRUE,"Saucer, Mulder, Scully, ET, Spaaaaaaace","I Want To Believe, Intergalatic Planetary, The Final Frontier"
993,🚁,TRUE,Choppah,
994,🛶,TRUE,Canoe,"Paddle Your Own Canoe, Upstream Revenue, Downstream Revenue, Souls Adrift"
995,⛵️,TRUE,Sailboat,
996,🚤,TRUE,Speedboat,
997,🛥️,TRUE,Yacht,Forget Me Yacht
998,🛳️,TRUE,McBoatface,"Shippin Out, A Supposedly Fun Thing"
999,⛴️,TRUE,"Steamboat, Ferry",SS Serotonin
1000,🚢,TRUE,Foghorn,"Edmund Fitzgerald, Pen Man Ship, Theodore Tugboat "
1001,🛟,TRUE,Buoy,"Man Overboard, I'm A Life Saver, Save Yourself!, Abandon Ship, Keepin Afloat, Bobbin Along"
1002,⚓️,TRUE,"Shipwreck, Anchor","Rock Bottom, Lone Sailor, Dead Weight, Sunk Cost, Get Low, We're In Too Deep"
1003,🪝,TRUE,Hook,"Off The Hook, Tender Hook"
1004,⛽️,FALSE,Smell,
1005,🚧,TRUE,Detour,"MTL Mascot, Out Of Order, Bienvenue à Montréal"
1006,🚦,TRUE,Wait,Wait For It...
1007,🚥,TRUE,Delay,
1008,🚏,TRUE,Bus Stop,Final Destination
1009,🗺️,TRUE,"Latitude, Mercator","Off Grid, X Marks Me, Uncharted Waters, All Over The Place, Yours To Discover"
1010,🗿,TRUE,"Stoneface, Chin, Huehuehue ","Rock Solid, Stony McStoneface"
1011,🗽,TRUE,"Statue, Fuggedaboutit, Bodega, Schlep, Brooklyn, Manhattan, Bronx, Queens","Rent Too High, Concrete Jungle, Da Big Apple, Top of the Rock, Five Boroughs, Takin' Liberties, Bright Lights Big City"
1012,🗼,TRUE,"Towah, Skyline, Spire","Above Reproach, Not The Eiffel"
1013,🏰,TRUE,"Castle, Fortress, Citadel, Moat, Dungeon, Drawbridge","Guard Duty, King's Ransom, Competitive Moat, Guard Up, Castling Rights, Bit Drafty In Here, Bouncy Castle"
1014,🏯,TRUE,"Fortress, Shogun",Shogun Hoedown
1015,🏟️,TRUE,"Colosseum, Arena, Dome, Bowl, Gladiator, Globe","Home Team Advantage, Olé Olé, The Crowd Goes Wild"
1016,🎡,TRUE,"Wheel, Carousel, Gondola, Revolution, Spins","Ferris Bueller, Goin In Circles, Circular Logic"
1017,🎢,TRUE,"Coaster, Twister, Corkscrew, Gravity, Uh-Oh","Ups And Downs, Loop-De-Loop, Stuck In A Loop, Final Destination, Mr. Bones' Wild Ride"
1018,🎠,TRUE,Horsey,"Around We Go, Spinnin In Circles"
1019,⛲️,TRUE,"Fountain, Geyser, Spout, Sprinkle, Bubble, Splash, Spritz, Trevi","Liquid Assets, Money Pit, Big Splash, Live Stream"
1020,⛱️,TRUE,"Shade, Parasol, Cabana, Poolside, Vacation","Shady Lady, For Shadowing"
1021,🏖️,TRUE,Sandbar,No Tea No Shade
1022,🏝️,TRUE,"Snorkle, Castaway, Sandbar","Private Island, Where's Wilson?, Island Time, Bikini Atoll, Terra Firma, Washed Up"
1023,🏜️,TRUE,"Desert, Hoodoo, Saguaro, Cactus, Sirocco",Dry Spell
1024,🌋,TRUE,"Volcano, Eruption, Lava, Crater, Magma, Pompeii, Krakatoa, Vesuvius","The Floor is Lava, I Lava You, Hot Mess, Rock Bottom, Having A Meltdown, Blowin My Top, It's Raining Hot Cheetos"
1025,⛰️,TRUE,"Mountain, Whiteface, Greylock, Mansfield","King Of The Hill, Mount Royal, Sneaky Peak"
1026,🏔️,TRUE,"Everest, K2, Kilimanjaro, Denali, Matterhorn, Rainier, Alpe, Rocky, Peak",Peak Performance
1027,🗻,TRUE,Fuji,
1028,🏕️,TRUE,"Solitude, S'mores","Takin A Hike, Tents Across The Board"
1029,⛺️,TRUE,"Tent, Tarp, Campfire","Mosquito BNB, Nature Calls, Dirt Nap"
1030,🛖,TRUE,Hut,
1031,🏠,TRUE,"Suburb, Bungalow, McMansion",No Avocado Toast
1032,🏡,TRUE,Lawn,
1033,🏘️,TRUE,"NIMBY, Neighbor",Attack Of The NIMBYs
1034,🏚️,TRUE,"Houseguest, Renoviction, Fixer-Upper","Trust The Process, Fixer Upper"
1035,🏗️,TRUE,Crane,"Niles And Frasier, Wrecking Ball, Whoopin Crane"
1036,🏭,TRUE,Factory,"I'm Fuming, Toxic Workplace"
1037,🏢,TRUE,"Office, Cubicle","Workin 9-to-5, What Would You Say You Do Here"
1038,🏬,FALSE,,
1039,🏣,FALSE,,
1040,🏤,TRUE,Post Office,"Posted Up, Signed Sealed Delivered, Gone Postal"
1041,🏥,FALSE,,
1042,🏦,FALSE,,
1043,🏨,TRUE,"Hotel, Motel","Room Service, Inn Trouble, Suite Deal, Room For Error"
1044,🏪,FALSE,,
1045,🏫,FALSE,,
1046,🏩,FALSE,,
1047,💒,FALSE,,
1048,🏛️,TRUE,"Roman, Doric, Ionic, Corinthian, Pantheon, Parthenon","Roman Numeral, In Transit Confido, Let's Carpe This Diem"
1049,⛪️,FALSE,,
1050,🕌,FALSE,,
1051,🕍,FALSE,Temple,
1052,🛕,FALSE,,
1053,🕋,FALSE,,
1054,⛩️,FALSE,Entrance,
1055,🛤️,TRUE,,"That Tracks, Derail The Conversation"
1056,🛣️,FALSE,,
1057,🗾,FALSE,,
1058,🎑,FALSE,,
1059,🏞️,FALSE,,
1060,🌅,FALSE,,
1061,🌄,FALSE,,
1062,🌠,FALSE,,
1063,🎇,FALSE,,
1064,🎆,FALSE,,
1065,🌇,FALSE,,
1066,🌆,FALSE,,
1067,🏙️,FALSE,,
1068,🌃,FALSE,,
1069,🌌,FALSE,,
1070,🌉,FALSE,,
1071,🌁,FALSE,,
1072,⌚️,TRUE,"Rollie, Ticker, Tick-Tock, Watch","Always On Time, Rollie On My Wrist, Frosted Watch "
1073,📱,TRUE,"Mobile, Doomscroll, Screentime, Phone, Cellphone",U Got Any Games On Ur Phone
1074,📲,FALSE,,
1075,💻,TRUE,"Laptop, Linus, Firewall, Petaflop, Debug","Script Kiddie, Cookie Machine, Debug Bug"
1076,⌨️,TRUE,"Keyboard, Alphabet, Typewriter","Feelin QWERTY, Clickety Clack"
1077,🖥️,TRUE,"Screenshot, Gigapixel, Hal, Karen",The Machines Are Learning
1078,🖨️,TRUE,"Printer, Ink, Fax, Copy, Xerox","Carbon Copy, Out Of Ink, All Fax No Printer"
1079,🖱️,FALSE,,
1080,🖲️,TRUE,Trackball,Infinite Scroll
1081,🕹️,TRUE,"Joystick, Konami, Pong, Dreamcaster, Atari","Duck Hunt, Konami Code"
1082,🗜️,TRUE,Clamp,"Clampin Down, Inherent Vice"
1083,💽,FALSE,,
1084,💾,TRUE,Floppy,"Storage Wars, Flop Era, So That Flopped"
1085,💿,FALSE,,
1086,📀,TRUE,"CD, DVD, Blu-Ray, Mixtape, Album",RIP Limewire
1087,📼,TRUE,"Blockbuster, Tarantino, Rewind, VCR","Mix Tape, Be Kind and Rewind, VCR CPR, Blow By Blow "
1088,📷,TRUE,"Paparazzi, Lens, Flash, Focus, Shot, Film, Polaroid",Papa Paparazzi
1089,📸,TRUE,Paparazzi,Photo Finish
1090,📹,TRUE,Capture,"American Beauty Guy, My Funniest Home Video, Straight To DVD"
1091,🎥,TRUE,"Tarantino, Marty, Coppola","The Big Picture, Letterboxd User, Letterboxd Pro, Letterboxd Patron, Absolute Cinema"
1092,📽️,TRUE,"Tuber, Film Bro, Analog, Reel","Criterion Collector, Letterboxd User, Letterboxd Pro, Letterboxd Patron, Absolute Cinema"
1093,🎞️,TRUE,"Clip, Film, Reel, 35mm",2 Reel 4 U
1094,📞,TRUE,,E.T. Phone Home
1095,☎️,FALSE,,
1096,📟,TRUE,"Pager, Skypager, Beeper",Call Me Beep Me
1097,📠,TRUE,Fax,All Fax No Printer
1098,📺,TRUE,"Telly, Tube, Flicker, Static, TV","Dead Air, The Cable Guy, Message From Our Sponsors, Commecial Break, AV Club, BZZRRRRT, After School Special, Pass The Remote Pls"
1099,📻,TRUE,"Boombox, Dial, Airwave, Fuzzbox, Static","You're Listening To Transit FM, TV Killed Me"
1100,🎙️,TRUE,"Comic, Alpha, Bravo, Delta, Echo, Foxtrot, Tango",Is This Thing On?
1101,🎚️,FALSE,,
1102,🎛️,FALSE,,
1103,🧭,TRUE,"Directions, North, South, East, West, GPS","Recalculating Recalculating, Every Which Way, Moral Compass, No Sense Of Direction, You'll Find Your Way"
1104,⏱️,TRUE,"Ticker, Stopwatch, Past, Present, Future, Second","The Clock Is Ticking, The Final Countdown"
1105,⏲️,TRUE,Egg Timer,
1106,⏰,TRUE,Alarm,Clockin Out
1107,🕰️,TRUE,"Clock, Cuckoo, Grandfather, Cogsworth","Tickety Tock, Wouldya Lookit The Time, Waits For No One"
1108,⌛️,TRUE,"Light Year, Timer, Clockwork, Hourglass",
1109,⏳,TRUE,Countdown,
1110,📡,TRUE,"Data, Dish, Radar, Broadcast, Signal, Probe",
1111,🔋,TRUE,"Battery, Powah, Cell, Charge, Volt",
1112,🪫,FALSE,,
1113,🔌,TRUE,"Plug, Prong, Socket, Jack, Surge, Dock",
1114,💡,TRUE,"Bulb, Edison, Eureka, Glow, Spark, Twinkle",Gas Light
1115,🔦,TRUE,"Torch, Beacon, Beam, Spotlight, Flash",Afraid Of The Dark
1116,🕯️,TRUE,"Wax, Wick, Torch, Taper, Beeswax",Waxing Poetic
1117,🪔,TRUE,"Aroma, Flame, Lantern, Candlestick, Candelabra, Taper",
1118,🧯,TRUE,Foam,Burnout Leave
1119,🛢️,TRUE,"Barrel, Tank, Cask, Keg, Oil, Drum","Barrel of Laughs, Monkey Container"
1120,💸,TRUE,"Crime, Fraud, Bribe, Moolah, Loot, Kapital, Asset, Crypto","Bands On Bands, C.R.E.A.M., Hunnid Bands, Chasin Paper, All In"
1121,💵,TRUE,"Washington, Jefferson, Lincoln, Jackson, Grant, Franklin, Hamilton, Stack, Cash","Three Comma Club, Monopoly Money, Sticker Shock, Price Gouging, The Vanishing Dollar, Inflationary Diet, Big Squeeze, Funny Money, Buyer's Remorse, Full Marx"
1122,💴,TRUE,"Scratch, Dinero, Cheddar, Scrip, Scrilla, Sheckels, Bones, Lucre, Payola, Bankroll, Bread, Green",
1123,💶,TRUE,"Florin, Ducat, Lira, Franc, Drachma, Dinar, Forint, Schilling, Ruble, Kopek",
1124,💷,TRUE,"Swindle, Quid, Shilling, Crown, Farthing, Guinea, Sixpence, Groat, Ducat, Bob, Tenner",Pound Foolish
1125,🪙,TRUE,"Shilling, Loonie, Toonie","Financial Quarters, Peter Thiel's Last Dime, Wooden Nickel, Funny Money, Meme Coin, Money Talks, Nickel Back, Penny Pincher, Couch Quarter, Pretty Penny, Take My Money, Communion Money, Strapped For Pennies, Top Dollah, Young Money"
1126,💰,TRUE,"Loot, Dough, Currency, Stash, Purse, Scrooge","National Treasure, Time is Money, Big Spender"
1127,💳,TRUE,"Baller, Plastic, Swipe, Debt, Interest, Collateral",Always Takin Credit
1128,🪪,FALSE,,
1129,💎,TRUE,"Bling, Carat, Luster",
1130,⚖️,TRUE,"Scale, Fulcrum, Libra","Tippy Scale, Murphy's Law, Only Judy Can Judge Me"
1131,🪜,TRUE,"Ladder, Height, Scaffold, Ascent, Rung, Climb",Corporate Ladder
1132,🧰,TRUE,"Tool, Box, Lunchbox",
1133,🪛,TRUE,"Torque, Screwdriver, Flathead, Ratchet, Spanner, Bit, Torx, Hex",
1134,🔧,TRUE,"Wrench, Twist",Wrench In The Works
1135,🔨,TRUE,"Hammah, Boom, Mallet, Whack, Pound, Anvil, Forge, Strike, Thor, Blacksmith","Sister Sledgehammer, Hammerin' Home, Alabama Slamma, Tappin' Out"
1136,⚒️,FALSE,,
1137,🛠️,TRUE,,
1138,⛏️,TRUE,"Pick, Slice",
1139,🪚,TRUE,"Saw, Blade, Timber, Lumbah, Plank",Sharp Wit
1140,🔩,TRUE,"Nut, Washer, Wingnut",
1141,⚙️,TRUE,Metal,"Loose Screws, Rude Mechanicals, Spinnin Gears, Built Different, Many Moving Parts, Reinventing Wheels, Throw A Wrench At Me, Grind My Gears, Cranking It Up, System Failure, Coggiest Machine"
1142,🪤,TRUE,Trap,
1143,🧱,TRUE,Brick,Lego V1
1144,⛓️,TRUE,"Two Chains, Chain Reaction",Markov Chainz
1146,🧲,TRUE,Magnet,
1147,🔫,FALSE,Spray,
1148,💣,FALSE,Boom,
1149,🧨,FALSE,Sssss,
1150,🪓,FALSE,Axe,
1151,🔪,FALSE,Cleaver,
1152,🗡️,FALSE,Dagger,
1153,⚔️,FALSE,Sabre,
1154,🛡️,FALSE,,
1155,🚬,FALSE,,
1156,⚰️,TRUE,"Casket, Coffin","RIP My Chances, My Fate Is Sealed, Beasting In The Underground"
1157,🪦,TRUE,"Tomb, Grave",Graveyard Shift
1158,⚱️,FALSE,Spittoon,
1159,🏺,FALSE,Vase,
1160,🔮,TRUE,Oracle,"Pondering My Orb, As U Wish, Future Tense, Spoiler Alert It's Bad, Ask Me Later, Oracular Spectacular"
1161,📿,TRUE,Beads,
1162,🧿,FALSE,,
1163,🪬,FALSE,,
1164,💈,TRUE,"Barber, Seville","Cut Above, Snip Snip, Mullet Factory, Barbershop Quartet, Hairy Situation, Chop It All Off, Off The Dome, Hair Line, Clip Art, Shaving Grace, Jack The Clipper"
1165,⚗️,TRUE,"Potion, Elixir, Experiment","Walter White House, Cookin Up Trouble, Stirrin The Pot, This Might Explode, Bubblin Over, Strange Brew, Toil & Trouble, Bubblin Cauldron, Aqua Vitae "
1166,🔭,TRUE,"Supernova, Galileo","I Spy, Hubble Bubble, Can You Enhance That, Staring Into The Abyss, Jeepers Peepers, Gazing Respectfully, Seeing Is Believing"
1167,🔬,TRUE,Fungus,Ready For My Close-Up
1168,🕳️,TRUE,"Pit, Hole, Void","Mind The Gap, Plot Hole, Watch Out Alice!, Falling For It, Wait For The Drop, Long Way Down, Free Fall, The Mighty Have Fallen, Da Void, Terminal Velocity, Hole In The Wall, Watering Hole, Hole Dupp, Rad Pit"
1169,🩻,FALSE,,
1170,🩹,TRUE,Ouchie,"Tis But A Scratch, Flesh Wound"
1171,🩺,FALSE,Heartbeat,
1172,💊,FALSE,Vitamin,
1173,💉,FALSE,Botox,
1174,🩸,FALSE,,
1175,🧬,FALSE,,
1176,🦠,FALSE,,
1177,🧫,FALSE,,
1178,🧪,TRUE,Experiment,
1179,🌡️,TRUE,Fevah,
1180,🧹,TRUE,Broom,"Broom Scrolling, Dust Up, Dust Devil, Clean Sweep, Witch Wagon, Clean Getaway, Cleanin House, Wipe The Floor, Stop Mop And Roll,"
1181,🪠,TRUE,Plunger,"Stick It On My Trumpet, Taking The Plunge"
1182,🧺,TRUE,Picnic,
1183,🧻,TRUE,TP,
1184,🚽,TRUE,Toilet,"Out Of Order, Royale Flush, Throne Depot"
1185,🚰,TRUE,Faucet,Drippin Like A Faucet
1186,🚿,TRUE,Spray,
1187,🛁,TRUE,Tub,
1188,🛀,TRUE,Bubblez,Rubadub Dub
1189,🧼,TRUE,Soap,
1190,🪥,TRUE,Bristle,
1191,🪒,TRUE,Shave,
1192,🪮,TRUE,"Comb, Pick, Fro",
1193,🧽,TRUE,"Sponge, Bob",
1194,🪣,TRUE,"Janitor, Bucket, Pail","Pails In Comparison, Kick The Bucket, Put The Crab In The Bucket"
1195,🧴,TRUE,Lotion,Ashy No More
1196,🛎️,TRUE,Bellhop,Southern Bell
1197,🔑,TRUE,Key,
1198,🗝️,TRUE,Vault,"Key 2 My Heart, Jingling Janitor, Key 2 Da City, Gate Keeper, Locked In, Secret Door"
1199,🚪,TRUE,Door,"Exit Stage Left, Knock Knock, Open Invitation, Opportunity's Knockin, Always Knock First, To Push Or To Pull?, Unhniged Behaviour, Exit Strategy, That's My Cue To Leave, Behind Closed Doors, Open And Shut"
1200,🪑,TRUE,Chair,"Bench Warmer, Chair Man, Front Row Seat, Folds Under Pressure, Sittin Pretty, Sitting This One Out, I Won't Stand For This"
1201,🛋️,TRUE,Futon,"Couch Surfer, Screaming Internally, Freud's House, See You Next Week"
1202,🛏️,TRUE,Bed,Sleep No More
1203,🛌,TRUE,Snooze,"Club Nap ft. DJ Blanky, Just Five More Minutes, 2 Cozy 2Day"
1204,🧸,TRUE,"Teddy, Plushie, Bear","Teddy Roosevelt, Bear In Mind"
1205,🪆,TRUE,"Matryoshka, Babushka",Lil Babushka
1206,🖼️,FALSE,,
1207,🪞,TRUE,"Windex, Mirror, Reflection","Through The Looking Glass, Mirror Mirror"
1208,🪟,TRUE,Window,"Defenestration of Prague, Windows XP"
1209,🛍️,TRUE,Spree,"Sartorial Baggage, Designer Undereye Bags, Let's Go To The Mall, Secure The Bag"
1210,🛒,TRUE,Cart,"Bumper Carts, Aisle Be Back, Squeaky Wheel, Cart Before Horses, Abandoned Cart, Gridlock in Aisle 5, While Supplies Last"
1211,🎁,TRUE,Present,Loot Drop
1212,🎈,TRUE,Helium,Poppin Off
1213,🎏,FALSE,,
1214,🎀,TRUE,"Ribbon, Coquette, Girlypop, Bestie, Bow",
1215,🪄,TRUE,"Spell, Abracadabra, Ta-Da, Magic, Wizard, Magician, Illusionist, Auto-Complete","It's An Illusion Michael, Bippity Boppity Boo, A Flick of the Wrist, Focused Pocus"
1216,🪅,TRUE,Piñata,
1217,🎊,TRUE,Confetti,
1218,🎉,TRUE,Surprise,
1219,🎎,FALSE,,
1220,🪭,TRUE,Flutter,"Big Fan of Your Work, Shady Lady, Throwing Shade, Big Fan"
1221,🏮,TRUE,Izakaya,
1222,🎐,FALSE,,
1223,🪩,TRUE,"Rave, Disco, Mirrorball, Groove, Funk, Boogie","Panic at the Disco, All Aboard the Soul Train, Get Down 2nite, Boogie Oogie Oogie, All Panic No Disco"
1224,🧧,FALSE,,
1225,✉️,FALSE,,
1226,📩,FALSE,,
1227,📨,FALSE,,
1228,📧,FALSE,,
1229,💌,FALSE,,
1230,📥,FALSE,,
1231,📤,FALSE,,
1232,📦,TRUE,Package,Box Wine
1233,🏷️,FALSE,,
1234,🪧,FALSE,,
1235,📪,FALSE,,
1236,📫,FALSE,,
1237,📬,TRUE,,Alpha Mail
1238,📭,FALSE,,
1239,📮,TRUE,Invoice,
1240,📯,TRUE,Horn,"Hear Ye, Sound The Alarms, Sound Off In The Comments, Doot Doola Doot Doo, Echo Chamber"
1241,📜,TRUE,Mitzvah,
1242,📃,FALSE,,
1243,📄,FALSE,,
1244,📑,FALSE,,
1245,🧾,FALSE,,
1246,📊,FALSE,,
1247,📈,FALSE,,
1248,📉,FALSE,,
1249,🗒️,FALSE,,
1250,🗓️,FALSE,,
1251,📆,FALSE,,
1252,📅,FALSE,,
1253,🗑️,FALSE,,
1254,📇,FALSE,,
1255,🗃️,FALSE,,
1256,🗳️,FALSE,,
1257,🗄️,FALSE,,
1258,📋,FALSE,,
1259,📁,FALSE,,
1260,📂,FALSE,,
1261,🗂️,FALSE,,
1262,🗞️,TRUE,Op-Ed,"Paper Route, Sunday Edition, Bad Aim, Paper Cuts, Not A Burrito"
1263,📰,TRUE,Headline,"Read All About It, Extra! Extra!, Hot Off The Press, Above The Fold, Old News, Making Headlines, Slow News Day, Page Six, Press Leak, The Grey Lady"
1264,📓,FALSE,,Hidden Agenda
1265,📔,FALSE,,
1266,📒,FALSE,,
1267,📕,FALSE,,
1268,📗,TRUE,Book,
1269,📘,FALSE,,
1270,📙,FALSE,,
1271,📚,TRUE,Book,"Training Data, The Plot Thickens, Novel Idea, Open Book, Plotting My Escape, Shelf Life, Sorry We're Booked"
1272,📖,FALSE,,
1273,🔖,FALSE,,
1274,🧷,TRUE,Pin,
